epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.5,1.7049,5.45307,1.90536,0.78972,0.60638,0.74505,0.37644,1.63578,4.3077,1.84479,0.000331761,0.000331761,0.0671557
2,308.798,1.54907,4.09936,1.76206,0.77919,0.76209,0.83994,0.4424,1.49637,3.89612,1.73879,0.000656864,0.000656864,0.0341474
3,457.353,1.50736,3.80184,1.70916,0.85554,0.82631,0.88402,0.51296,1.4514,2.90671,1.69928,0.000973717,0.000973717,0.00113095
4,604.907,1.48616,3.69272,1.6975,0.81739,0.8066,0.86531,0.48732,1.48032,3.37932,1.69753,0.000962875,0.000962875,0.000962875
5,756.743,1.44502,3.51722,1.6614,0.90727,0.90328,0.94416,0.50577,1.60122,2.47727,1.77844,0.0009505,0.0009505,0.0009505
6,906.57,1.4327,3.37344,1.64855,0.88764,0.87796,0.92962,0.55978,1.41135,2.4807,1.61319,0.000938125,0.000938125,0.000938125
7,1055.61,1.40134,3.27295,1.62469,0.91939,0.88442,0.94405,0.58651,1.36963,2.35838,1.58494,0.00092575,0.00092575,0.00092575
8,1205.05,1.3863,3.192,1.61756,0.91186,0.92056,0.95227,0.58039,1.38916,2.21305,1.56247,0.000913375,0.000913375,0.000913375
9,1356.22,1.36868,3.14148,1.59404,0.92068,0.91573,0.95747,0.62052,1.26793,2.18024,1.51225,0.000901,0.000901,0.000901
10,1507.07,1.34713,3.00465,1.58007,0.92151,0.92998,0.96362,0.6116,1.31834,2.04727,1.56416,0.000888625,0.000888625,0.000888625
11,1656.03,1.3403,3.00889,1.57396,0.93031,0.91725,0.95423,0.61873,1.25566,2.16252,1.51874,0.00087625,0.00087625,0.00087625
12,1804.34,1.32488,2.93209,1.55446,0.92464,0.9302,0.95477,0.59603,1.35112,2.1007,1.53173,0.000863875,0.000863875,0.000863875
13,1951.87,1.31032,2.87768,1.53932,0.94892,0.94482,0.97144,0.64782,1.23709,1.89176,1.47939,0.0008515,0.0008515,0.0008515
14,2097.65,1.28823,2.80185,1.51956,0.94546,0.93739,0.96966,0.65202,1.2258,1.82275,1.44624,0.000839125,0.000839125,0.000839125
